title,org_name,url
Directeur.rice Ressources Humaines (H/F),EMMAUS DEFI ,https://jobs.makesense.org/fr/jobs/emmaus-defi-directeurrice-ressources-humaines-hf-7O0Q4QV0UZklkVe4Zsb2
Carbon Finance Intern,CarbonFarm Technology,https://jobs.makesense.org/fr/jobs/carbonfarm-technology-carbon-finance-intern-7UHn3mVswLEIk6GgioYs
Responsable pédagogique (F/H),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-responsable-pedagogique-fh-7WcxcFKhrWcjJTuQR6Bp
CHEF.FE DEQUIPE DE NUIT - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-cheffe-dequipe-de-nuit-hf-7bjbEHzPNqvkC6PztDzX
Chargé des financements et des subventions publiques H/F,Ordre de Malte,https://jobs.makesense.org/fr/jobs/ordre-de-malte-charge-des-financements-et-des-subventions-publiques-hf-7iQqgUlI2MfFGSPdNdMv
Principal Power & Distributed Energy Resources (DER) H/F,Blunomy (formerly Enea Consulting),https://jobs.makesense.org/fr/jobs/blunomy-formerly-enea-consulting-principal-power-and-distributed-energy-resources-der-hf-7onwuOmYwEfuo8f2LSvY
Médecin chef (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-medecin-chef-hfx-7vkXRUeAVfNN10PtCqNY
Alternance  - UX designer (H/F),2tonnes,https://jobs.makesense.org/fr/jobs/2tonnes-alternance-ux-designer-hf-810yNXloMAiMgsjQIssZ
1 Educateur Spécialisé (H/F Temps Plein) Centre Parental Les Gigognes,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-1-educateur-specialise-hf-temps-plein-centre-parental-les-gigognes-84W5WTT7WlXYYivrxmZy
Assistant.e du Département des Opérations (F/H),Médecins sans Frontières France,https://jobs.makesense.org/fr/jobs/medecins-sans-frontieres-france-assistante-du-departement-des-operations-fh-8BOYIoDCumL44ElJRyP9
TECHNICIEN ADMINISTRATIF SUPERIEUR - SPECIALISE COMPTABLE (H/F),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-technicien-administratif-superieur-specialise-comptable-hf-8HxMBq9MA2lwQm8lPemh
Consultant·e économique et social - Services Financiers,SYNDEX,https://jobs.makesense.org/fr/jobs/syndex-consultante-economique-et-social-services-financiers-8LkQMaodMnHgFAKorM3r
Technicien d'Intervention sociale et Familiale H/F/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-technicien-dintervention-sociale-et-familiale-hfx-8P9zGjJQ5N864RQqNcNk
Animateur petite enfance H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-animateur-petite-enfance-hf-8SlP6Mn3DrPj4YcQ32Ed
Ingénieur(e) en Maîtrise d’œuvre CVC (H/F) - CDI à Paris,Alter Watt ,https://jobs.makesense.org/fr/jobs/alter-watt-ingenieure-en-maitrise-doeuvre-cvc-hf-cdi-a-paris-8Tbgy7pxsHt43n7FWlnH
Responsable Ressources Humaines H/F,Emmaüs Connect,https://jobs.makesense.org/fr/jobs/emmaus-connect-responsable-ressources-humaines-hf-8Xp3AdDTjEi4LTx3pVvt
